category,kpi_number,kpi_name,metric_name,value,unit,formula,bigquery_fields,data_source,period,status,threshold,threshold_status,interpretation,cmo_action
OVERVIEW,0,Total Purchase Revenue,total_revenue,362165.0,USD,"SUM(ecommerce.purchase_revenue) WHERE event_name = 'purchase'","ecommerce.purchase_revenue, event_name",DS1 - Revenue,Nov 2020 - Jan 2021,Baseline,N/A,Baseline,Full period revenue across 92 days of GA4 ecommerce data,Use as benchmark for future periods
OVERVIEW,0,Total Orders,total_orders,4452,count,"COUNT(DISTINCT ecommerce.transaction_id) WHERE event_name = 'purchase'","ecommerce.transaction_id, event_name",DS1 - Revenue,Nov 2020 - Jan 2021,Baseline,N/A,Baseline,Total completed transactions across full period,Monitor month-over-month trend
OVERVIEW,0,Unique Buyers,unique_buyers,4419,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'purchase'","user_pseudo_id, event_name",DS1 - Revenue,Nov 2020 - Jan 2021,Baseline,N/A,Baseline,Unique users who completed at least one purchase,33 users placed more than one order
OVERVIEW,0,Total Sessions,total_sessions,267116,count,"COUNT(DISTINCT user_pseudo_id) WHERE event_name = 'session_start'","user_pseudo_id, event_name",DS2 - Funnel,Nov 2020 - Jan 2021,Baseline,N/A,Baseline,Total unique user sessions across full period,Use as denominator for CVR calculations

REVENUE,1,Total Purchase Revenue,november_revenue,144260.0,USD,"SUM(ecommerce.purchase_revenue) WHERE event_name = 'purchase' AND month = '2020-11'","ecommerce.purchase_revenue, event_name, event_date",DS1 - Revenue,November 2020,Baseline,N/A,Baseline,November revenue - early holiday ramp period,Set as pre-peak baseline for future Nov campaigns
REVENUE,1,Total Purchase Revenue,december_revenue,160555.0,USD,"SUM(ecommerce.purchase_revenue) WHERE event_name = 'purchase' AND month = '2020-12'","ecommerce.purchase_revenue, event_name, event_date",DS1 - Revenue,December 2020,Peak,N/A,Peak Month,December peak - holiday gifting season drives highest volume,Deploy bundle promos to protect AOV during peak
REVENUE,1,Total Purchase Revenue,january_revenue,57350.0,USD,"SUM(ecommerce.purchase_revenue) WHERE event_name = 'purchase' AND month = '2021-01'","ecommerce.purchase_revenue, event_name, event_date",DS1 - Revenue,January 2021,Baseline,N/A,Baseline,January post-holiday cooldown - lowest revenue month,January is the true business baseline stripped of holiday effects
REVENUE,1,Total Purchase Revenue,nov_orders,1259,count,"COUNT(DISTINCT ecommerce.transaction_id) WHERE event_name = 'purchase' AND month = '2020-11'","ecommerce.transaction_id, event_name, event_date",DS1 - Revenue,November 2020,Baseline,N/A,Baseline,November transaction count,Compare volume vs value trade-off with December
REVENUE,1,Total Purchase Revenue,dec_orders,2311,count,"COUNT(DISTINCT ecommerce.transaction_id) WHERE event_name = 'purchase' AND month = '2020-12'","ecommerce.transaction_id, event_name, event_date",DS1 - Revenue,December 2020,Peak,N/A,Peak Month,December transaction count - highest volume,83% more orders than November but 39% lower AOV
